Study,Series ,REP,Test,Site Name,"Town*, County, State","Coordinates (Latitude, Longitude)",lon,lat
SSIGNS - CRIFF C,CRIFF C,1,C-1,Hortense,"Jesup, Wayne County, GA","31.386977, -81.997530 ",-81.99753,31.386977
,,2,,,,"31.386977, -81.997530 ",-81.99753,31.386977
SSIGNS - CRIFF C,CRIFF C,3,C-2,Hortense,"Jesup, Wayne County, GA"," 31.384365, -82.006419 ",-82.006419,31.384365
SSIGNS - CRIFF C,CRIFF C,NA,C-2,Gainesville,"Gainesville, Alachua County, FL","29.719780, -82.312903",-82.312903,29.71978
SSIGNS - CRIFF C,CRIFF C,NA,C-3,Bradford,"Bradford County, FL","29째53'52.15""N 82째10'23.10""W ",-82.17309,29.89782
SSIGNS - CRIFF C,CRIFF C,NA,C-4,Okefenokee,"Ware County, GA","30.952223, -82.484816",-82.484816,30.952223
SSIGNS - CRIFF E ,CRIFF E,NA,E-1,Lottie,"Baldwin County, AL","31.154782, -87.625735",-87.625735,31.154782
SSIGNS - CRIFF E ,CRIFF E,NA,E-2,Old Stage Rd,"Conecuh County, AL","31.338323, -87.340127",-87.340127,31.338323
SSIGNS - CRIFF E ,CRIFF E,NA,E-3,Belcher Tract,"Monroe County, AL","31.396614, -87.494114",-87.494114,31.396614
SSIGNS - CRIFF E ,CRIFF E,NA,E-4,Brushy Creek Rd,"Copiah County, MS","31.894454, -90.195413",-90.195413,31.894454
SSIGNS - CRIFF D ,CRIFF D,NA,D-1,Post Road,"Wayne County, GA","31.3869872, -81.7043540",-81.704354,31.3869872
SSIGNS - CRIFF D ,CRIFF D,NA,D-2,Folkston,"Brantley County, GA","30.9813870, -82.0588588",-82.0588588,30.981387
SSIGNS - CRIFF D ,CRIFF D,NA,D-3,Satilla,"Brantley County, GA","31.209575, -82.086797",-82.086797,31.209575
SSIGNS - CRIFF D ,CRIFF D,NA,D-4,Big Bend,"Baker County, FL","30째20'37.23""N 82째4'55.62""W ",-82.08212,30.34367